[Ruhrgebiet Mod] Copying data files to cities/data/RHR...
[Ruhrgebiet Mod] Data files copied successfully.
[Ruhrgebiet Mod] Starting tile server on port 8080...
2026/08/29 21:57:30 main.go:162: served 304 %2FRHR%2F10%2F534%2F340.mvt in 1.501625ms
2026/08/29 21:57:30 main.go:162: served 304 %2FRHR%2F10%2F534%2F339.mvt in 1.708084ms
2026/08/29 21:59:22 main.go:162: served 200 %2FRHR%2F10%2F532%2F338.mvt in 1.009959ms
2026/08/29 21:59:22 main.go:162: served 200 %2FRHR%2F10%2F533%2F338.mvt in 1.649458ms
2026/08/29 21:59:22 main.go:162: served 200 %2FRHR%2F10%2F534%2F338.mvt in 1.673417ms
2026/08/29 21:59:22 main.go:162: served 200 %2FRHR%2F10%2F531%2F338.mvt in 1.731375ms
2026/08/29 21:59:26 main.go:162: served 200 %2FRHR%2F11%2F1067%2F678.mvt in 509.833µs
2026/08/29 21:59:26 main.go:162: served 200 %2FRHR%2F11%2F1067%2F679.mvt in 1.485292ms
2026/08/29 21:59:26 main.go:162: served 200 %2FRHR%2F11%2F1068%2F678.mvt in 359.834µs
2026/08/29 21:59:26 main.go:162: served 200 %2FRHR%2F11%2F1068%2F679.mvt in 1.29725ms
2026/08/29 21:59:26 main.go:162: served 200 %2FRHR%2F11%2F1067%2F680.mvt in 1.397584ms
2026/08/29 21:59:26 main.go:162: served 200 %2FRHR%2F11%2F1066%2F679.mvt in 680.083µs
2026/08/29 21:59:26 main.go:162: served 204 %2FRHR%2F11%2F1069%2F679.mvt in 24.125µs
2026/08/29 21:59:26 main.go:162: served 200 %2FRHR%2F11%2F1068%2F680.mvt in 137.667µs
2026/08/29 21:59:26 main.go:162: served 204 %2FRHR%2F11%2F1069%2F678.mvt in 15.208µs
2026/08/29 21:59:26 main.go:162: served 200 %2FRHR%2F11%2F1066%2F678.mvt in 255.458µs
2026/08/29 21:59:26 main.go:162: served 204 %2FRHR%2F11%2F1069%2F680.mvt in 15.625µs
2026/08/29 21:59:26 main.go:162: served 304 %2FRHR%2F11%2F1066%2F680.mvt in 346.5µs
2026/08/29 21:59:26 main.go:162: served 200 %2FRHR%2F12%2F2136%2F1357.mvt in 1.0255ms
2026/08/29 21:59:26 main.go:162: served 200 %2FRHR%2F12%2F2136%2F1358.mvt in 1.922916ms
2026/08/29 21:59:26 main.go:162: served 200 %2FRHR%2F12%2F2136%2F1359.mvt in 1.858958ms
2026/08/29 21:59:26 main.go:162: served 200 %2FRHR%2F12%2F2137%2F1358.mvt in 1.322459ms
2026/08/29 21:59:26 main.go:162: served 200 %2FRHR%2F12%2F2135%2F1358.mvt in 2.8885ms
2026/08/29 21:59:26 main.go:162: served 200 %2FRHR%2F12%2F2135%2F1359.mvt in 1.905375ms
2026/08/29 21:59:26 main.go:162: served 200 %2FRHR%2F12%2F2135%2F1357.mvt in 765.083µs
2026/08/29 21:59:26 main.go:162: served 200 %2FRHR%2F12%2F2137%2F1359.mvt in 412.709µs
2026/08/29 21:59:26 main.go:162: served 200 %2FRHR%2F12%2F2137%2F1357.mvt in 107.542µs
2026/08/29 22:00:50 main.go:162: served 304 %2FRHR%2F12%2F2137%2F1357.mvt in 204.334µs
2026/08/29 22:00:50 main.go:162: served 304 %2FRHR%2F12%2F2135%2F1357.mvt in 283.416µs
2026/08/29 22:00:50 main.go:162: served 304 %2FRHR%2F12%2F2136%2F1357.mvt in 259.5µs
2026/08/29 22:00:50 main.go:162: served 304 %2FRHR%2F11%2F1068%2F680.mvt in 265µs
2026/08/29 22:00:50 main.go:162: served 304 %2FRHR%2F11%2F1066%2F680.mvt in 236µs
2026/08/29 22:00:50 main.go:162: served 304 %2FRHR%2F11%2F1067%2F680.mvt in 240.917µs
2026/08/29 22:00:52 main.go:162: served 204 %2FRHR%2F11%2F1069%2F677.mvt in 46.667µs
2026/08/29 22:00:52 main.go:162: served 200 %2FRHR%2F11%2F1067%2F677.mvt in 1.331667ms
2026/08/29 22:00:52 main.go:162: served 200 %2FRHR%2F11%2F1068%2F677.mvt in 1.047292ms
2026/08/29 22:00:52 main.go:162: served 200 %2FRHR%2F11%2F1066%2F677.mvt in 988.416µs
2026/08/29 22:00:52 main.go:162: served 200 %2FRHR%2F12%2F2136%2F1356.mvt in 1.458ms
2026/08/29 22:00:52 main.go:162: served 304 %2FRHR%2F12%2F2136%2F1357.mvt in 370.708µs
2026/08/29 22:00:52 main.go:162: served 200 %2FRHR%2F12%2F2135%2F1356.mvt in 1.425ms
2026/08/29 22:00:52 main.go:162: served 200 %2FRHR%2F12%2F2137%2F1356.mvt in 277.708µs
2026/08/29 22:00:52 main.go:162: served 200 %2FRHR%2F12%2F2136%2F1355.mvt in 535.167µs
2026/08/29 22:00:52 main.go:162: served 200 %2FRHR%2F12%2F2135%2F1355.mvt in 492.916µs
2026/08/29 22:00:52 main.go:162: served 200 %2FRHR%2F12%2F2134%2F1356.mvt in 502.417µs
2026/08/29 22:00:52 main.go:162: served 304 %2FRHR%2F12%2F2135%2F1357.mvt in 152.709µs
2026/08/29 22:00:52 main.go:162: served 200 %2FRHR%2F12%2F2134%2F1357.mvt in 264.458µs
2026/08/29 22:00:52 main.go:162: served 200 %2FRHR%2F12%2F2134%2F1355.mvt in 1.01425ms
2026/08/29 22:00:52 main.go:162: served 304 %2FRHR%2F12%2F2137%2F1357.mvt in 743.167µs
2026/08/29 22:00:52 main.go:162: served 200 %2FRHR%2F12%2F2137%2F1355.mvt in 1.225875ms
2026/08/29 22:00:53 main.go:162: served 200 %2FRHR%2F13%2F4271%2F2713.mvt in 545.333µs
2026/08/29 22:00:53 main.go:162: served 200 %2FRHR%2F13%2F4272%2F2714.mvt in 626.542µs
2026/08/29 22:00:53 main.go:162: served 200 %2FRHR%2F13%2F4271%2F2714.mvt in 554.833µs
2026/08/29 22:00:53 main.go:162: served 200 %2FRHR%2F13%2F4272%2F2713.mvt in 826.917µs
2026/08/29 22:00:53 main.go:162: served 200 %2FRHR%2F13%2F4271%2F2712.mvt in 146.583µs
2026/08/29 22:00:53 main.go:162: served 200 %2FRHR%2F13%2F4272%2F2712.mvt in 777.875µs
2026/08/29 22:00:53 main.go:162: served 200 %2FRHR%2F13%2F4273%2F2712.mvt in 216.375µs
2026/08/29 22:00:53 main.go:162: served 200 %2FRHR%2F13%2F4270%2F2713.mvt in 241.708µs
2026/08/29 22:00:53 main.go:162: served 200 %2FRHR%2F13%2F4273%2F2713.mvt in 368.459µs
2026/08/29 22:00:53 main.go:162: served 200 %2FRHR%2F13%2F4273%2F2714.mvt in 373.625µs
2026/08/29 22:00:53 main.go:162: served 200 %2FRHR%2F13%2F4270%2F2714.mvt in 475.709µs
2026/08/29 22:00:53 main.go:162: served 200 %2FRHR%2F13%2F4270%2F2712.mvt in 542.875µs
2026/08/29 22:00:56 main.go:162: served 204 %2FRHR%2F10%2F533%2F337.mvt in 57.334µs
2026/08/29 22:00:56 main.go:162: served 204 %2FRHR%2F10%2F534%2F337.mvt in 16.375µs
2026/08/29 22:00:56 main.go:162: served 200 %2FRHR%2F10%2F532%2F337.mvt in 223.375µs
2026/08/29 22:00:57 main.go:162: served 200 %2FRHR%2F11%2F1066%2F676.mvt in 536.459µs
2026/08/29 22:00:57 main.go:162: served 200 %2FRHR%2F11%2F1067%2F676.mvt in 1.140834ms
2026/08/29 22:00:57 main.go:162: served 200 %2FRHR%2F11%2F1068%2F676.mvt in 440.292µs
2026/08/29 22:00:57 main.go:162: served 200 %2FRHR%2F11%2F1065%2F677.mvt in 656.667µs
2026/08/29 22:00:57 main.go:162: served 200 %2FRHR%2F11%2F1065%2F676.mvt in 607.458µs
2026/08/29 22:00:57 main.go:162: served 200 %2FRHR%2F12%2F2134%2F1353.mvt in 3.355834ms
2026/08/29 22:00:57 main.go:162: served 200 %2FRHR%2F12%2F2134%2F1352.mvt in 1.174417ms
2026/08/29 22:00:57 main.go:162: served 200 %2FRHR%2F12%2F2135%2F1353.mvt in 2.787458ms
2026/08/29 22:00:57 main.go:162: served 200 %2FRHR%2F12%2F2134%2F1354.mvt in 3.183084ms
2026/08/29 22:00:57 main.go:162: served 200 %2FRHR%2F12%2F2135%2F1354.mvt in 2.3935ms
2026/08/29 22:00:57 main.go:162: served 200 %2FRHR%2F12%2F2133%2F1353.mvt in 880.583µs
2026/08/29 22:00:57 main.go:162: served 200 %2FRHR%2F12%2F2133%2F1354.mvt in 764.458µs
2026/08/29 22:00:57 main.go:162: served 200 %2FRHR%2F12%2F2135%2F1352.mvt in 431.792µs
2026/08/29 22:00:57 main.go:162: served 200 %2FRHR%2F12%2F2133%2F1352.mvt in 429.208µs
2026/08/29 22:00:57 main.go:162: served 200 %2FRHR%2F12%2F2136%2F1354.mvt in 319.708µs
2026/08/29 22:00:57 main.go:162: served 200 %2FRHR%2F12%2F2136%2F1353.mvt in 494.708µs
2026/08/29 22:00:57 main.go:162: served 200 %2FRHR%2F12%2F2136%2F1352.mvt in 373.083µs
2026/08/29 22:00:58 main.go:162: served 200 %2FRHR%2F13%2F4269%2F2707.mvt in 1.539083ms
2026/08/29 22:00:58 main.go:162: served 200 %2FRHR%2F13%2F4268%2F2707.mvt in 1.903084ms
2026/08/29 22:00:58 main.go:162: served 200 %2FRHR%2F13%2F4270%2F2707.mvt in 1.197667ms
2026/08/29 22:00:58 main.go:162: served 200 %2FRHR%2F13%2F4268%2F2708.mvt in 980.334µs
2026/08/29 22:00:58 main.go:162: served 200 %2FRHR%2F13%2F4269%2F2708.mvt in 1.605166ms
2026/08/29 22:00:58 main.go:162: served 200 %2FRHR%2F13%2F4269%2F2706.mvt in 1.86625ms
2026/08/29 22:00:58 main.go:162: served 200 %2FRHR%2F13%2F4268%2F2706.mvt in 552.167µs
2026/08/29 22:00:58 main.go:162: served 200 %2FRHR%2F13%2F4270%2F2708.mvt in 389.667µs
2026/08/29 22:00:58 main.go:162: served 200 %2FRHR%2F13%2F4270%2F2706.mvt in 368.375µs
2026/08/29 22:01:02 main.go:162: served 200 %2FRHR%2F11%2F1065%2F678.mvt in 1.096708ms
2026/08/29 22:01:03 main.go:162: served 304 %2FRHR%2F10%2F531%2F338.mvt in 205µs
2026/08/29 22:01:03 main.go:162: served 304 %2FRHR%2F10%2F531%2F339.mvt in 1.358667ms
2026/08/29 22:01:03 main.go:162: served 304 %2FRHR%2F10%2F532%2F340.mvt in 1.561042ms
2026/08/29 22:01:03 main.go:162: served 304 %2FRHR%2F10%2F534%2F340.mvt in 1.6435ms
2026/08/29 22:01:03 main.go:162: served 304 %2FRHR%2F10%2F531%2F340.mvt in 1.797083ms
2026/08/29 22:01:03 main.go:162: served 200 %2FRHR%2F10%2F530%2F338.mvt in 292.25µs
2026/08/29 22:01:03 main.go:162: served 304 %2FRHR%2F10%2F530%2F339.mvt in 271.125µs
2026/08/29 22:01:03 main.go:162: served 304 %2FRHR%2F10%2F530%2F340.mvt in 3.127083ms
2026/08/29 22:01:05 main.go:162: served 304 %2FRHR%2F10%2F534%2F341.mvt in 2.104ms
2026/08/29 22:01:05 main.go:162: served 304 %2FRHR%2F10%2F532%2F341.mvt in 2.057834ms
