[Ruhrgebiet Mod] Copying data files to cities/data/RHR...
[Ruhrgebiet Mod] Data files copied successfully.
[Ruhrgebiet Mod] Starting tile server on port 8094...
2026/08/27 19:17:50 main.go:162: served 204 %2FRHR%2F13%2F4244%2F2738.mvt in 15.875µs
2026/08/27 19:17:50 main.go:162: served 204 %2FRHR%2F13%2F4244%2F2739.mvt in 11.667µs
2026/08/27 19:17:50 main.go:162: served 200 %2FRHR%2F13%2F4247%2F2737.mvt in 359.583µs
2026/08/27 19:17:50 main.go:162: served 204 %2FRHR%2F13%2F4244%2F2737.mvt in 9.75µs
2026/08/27 19:17:51 main.go:162: served 304 %2FRHR%2F12%2F2124%2F1368.mvt in 225.917µs
2026/08/27 19:17:51 main.go:162: served 304 %2FRHR%2F12%2F2124%2F1369.mvt in 292.75µs
2026/08/27 19:17:51 main.go:162: served 204 %2FRHR%2F10%2F530%2F343.mvt in 32.875µs
2026/08/27 19:17:51 main.go:162: served 204 %2FRHR%2F10%2F531%2F343.mvt in 13.792µs
2026/08/27 19:17:51 main.go:162: served 204 %2FRHR%2F10%2F529%2F343.mvt in 13.667µs
2026/08/27 19:17:51 main.go:162: served 204 %2FRHR%2F10%2F532%2F343.mvt in 9.917µs
2026/08/27 19:17:53 main.go:162: served 304 %2FRHR%2F11%2F1061%2F682.mvt in 1.225292ms
2026/08/27 19:17:53 main.go:162: served 304 %2FRHR%2F11%2F1063%2F682.mvt in 1.271375ms
2026/08/27 19:17:53 main.go:162: served 304 %2FRHR%2F11%2F1062%2F682.mvt in 1.800667ms
2026/08/27 19:17:53 main.go:162: served 304 %2FRHR%2F12%2F2126%2F1367.mvt in 4.328ms
2026/08/27 19:17:53 main.go:162: served 304 %2FRHR%2F12%2F2124%2F1366.mvt in 4.500792ms
2026/08/27 19:17:53 main.go:162: served 304 %2FRHR%2F12%2F2124%2F1367.mvt in 4.794666ms
2026/08/27 19:17:53 main.go:162: served 304 %2FRHR%2F12%2F2125%2F1368.mvt in 4.457834ms
2026/08/27 19:17:53 main.go:162: served 304 %2FRHR%2F12%2F2125%2F1366.mvt in 4.661167ms
2026/08/27 19:17:53 main.go:162: served 304 %2FRHR%2F12%2F2125%2F1367.mvt in 5.889792ms
2026/08/27 19:17:53 main.go:162: served 304 %2FRHR%2F12%2F2126%2F1366.mvt in 669.833µs
2026/08/27 19:17:53 main.go:162: served 304 %2FRHR%2F12%2F2123%2F1366.mvt in 841.583µs
2026/08/27 19:17:53 main.go:162: served 304 %2FRHR%2F12%2F2124%2F1368.mvt in 1.532791ms
2026/08/27 19:17:53 main.go:162: served 304 %2FRHR%2F12%2F2123%2F1367.mvt in 1.9725ms
2026/08/27 19:17:53 main.go:162: served 304 %2FRHR%2F12%2F2126%2F1368.mvt in 2.120917ms
2026/08/27 19:17:55 main.go:162: served 304 %2FRHR%2F13%2F4251%2F2733.mvt in 1.188959ms
2026/08/27 19:17:55 main.go:162: served 304 %2FRHR%2F13%2F4250%2F2733.mvt in 760.334µs
2026/08/27 19:17:55 main.go:162: served 304 %2FRHR%2F13%2F4249%2F2733.mvt in 65.672833ms
2026/08/27 19:17:55 main.go:162: served 304 %2FRHR%2F13%2F4249%2F2734.mvt in 65.414125ms
2026/08/27 19:17:55 main.go:162: served 304 %2FRHR%2F13%2F4251%2F2734.mvt in 65.626875ms
