[Munich Mod] Copying data files to cities/data/MUC...
[Munich Mod] Data files copied successfully.
[Munich Mod] Starting tile server on port 8082...
2026/08/27 11:58:47 main.go:162: served 304 %2FMUC%2F12%2F2177%2F1420.mvt in 2.709542ms
2026/08/27 11:58:48 main.go:162: served 200 %2FMUC%2F14%2F8716%2F5684.mvt in 2.502542ms
2026/08/27 11:58:48 main.go:162: served 304 %2FMUC%2F14%2F8720%2F5685.mvt in 1.756125ms
2026/08/27 11:58:48 main.go:162: served 200 %2FMUC%2F15%2F17437%2F11371.mvt in 2.533417ms
2026/08/27 11:58:48 main.go:162: served 200 %2FMUC%2F15%2F17435%2F11369.mvt in 2.489959ms
2026/08/27 11:58:48 main.go:162: served 200 %2FMUC%2F15%2F17438%2F11371.mvt in 2.940416ms
2026/08/27 11:58:48 main.go:162: served 200 %2FMUC%2F15%2F17436%2F11371.mvt in 3.06575ms
2026/08/27 11:58:48 main.go:162: served 304 %2FMUC%2F15%2F17436%2F11370.mvt in 154.833µs
2026/08/27 11:58:56 main.go:162: served 304 %2FMUC%2F15%2F17436%2F11370.mvt in 153.042µs
2026/08/27 11:58:56 main.go:162: served 304 %2FMUC%2F15%2F17438%2F11370.mvt in 1.322792ms
2026/08/27 11:58:56 main.go:162: served 304 %2FMUC%2F15%2F17437%2F11369.mvt in 1.950041ms
2026/08/27 11:58:56 main.go:162: served 304 %2FMUC%2F15%2F17437%2F11370.mvt in 1.374375ms
2026/08/27 11:59:04 main.go:162: served 304 %2FMUC%2F15%2F17436%2F11369.mvt in 967.5µs
2026/08/27 11:59:31 main.go:162: served 304 %2FMUC%2F15%2F17436%2F11368.mvt in 148.083µs
2026/08/27 11:59:31 main.go:162: served 304 %2FMUC%2F15%2F17437%2F11368.mvt in 429.084µs
2026/08/27 11:59:52 main.go:162: served 304 %2FMUC%2F15%2F17437%2F11369.mvt in 153.667µs
2026/08/27 11:59:52 main.go:162: served 304 %2FMUC%2F15%2F17437%2F11370.mvt in 176.458µs
2026/08/27 11:59:52 main.go:162: served 304 %2FMUC%2F15%2F17437%2F11370.mvt in 151.5µs
2026/08/27 11:59:53 main.go:162: served 304 %2FMUC%2F15%2F17437%2F11370.mvt in 145.833µs
2026/08/27 11:59:53 main.go:162: served 304 %2FMUC%2F15%2F17436%2F11370.mvt in 151.458µs
2026/08/27 12:00:00 main.go:162: served 304 %2FMUC%2F15%2F17437%2F11371.mvt in 158.333µs
2026/08/27 12:00:11 main.go:162: served 304 %2FMUC%2F15%2F17436%2F11370.mvt in 2.876292ms
